0,-TIHE POWER OF SIX

1,Jeepike Iidge
CUwlcon

2,ALICIA THE SNOW QUEEN FAIRY
RAIND
magic Daisy Meadows
S

3,Diary of a Wimpy Kid RODRICK
KINNEY
RULES
magic Daisy Meadows

4,THE WARLOCK
Daasto Brass
THE SECRETS OF THE IMMORTAL
NICHOLAS FLAMEL

6,THE NECROMANCER
Satt
THe SECRETS OF THe INORTAL
NICHOLAS FLAMEL

7,THE SORCERESS
Satt
THE SECRETS Of THE IHHORTAL
NICHOLAS fLAMEL

8,ETHE ENCHANTRESS
THO SEORETS 9F THE IHHORTAL
hents Reas
CNICHOLASFLAMEL

